i,id,rot,t,x,z
822,0xa1,-0.9706289172172546,0.0,4727.6064453125,759.0824584960938
823,0xa1,-0.9706277847290039,0.0,4731.28857421875,758.9533081054688
824,0xa1,-0.9706287980079651,0.0,4735.00537109375,758.8229370117188
825,0xa1,-0.9706279039382935,0.0,4738.611328125,758.6961669921875
826,0xa1,-0.9706286787986755,0.0,4742.29345703125,758.5670166015625
827,0xa1,-0.9275557398796082,0.0,4747.89892578125,758.3701782226562
828,0xa1,-0.9275555610656738,0.0,4753.615234375,758.1698608398438
829,0xa1,-0.9275556206703186,0.0,4759.33544921875,757.9691162109375
830,0xa1,-0.9275556206703186,0.0,4764.94091796875,757.7722778320312
831,0xa1,-0.9275559186935425,0.0,4770.71435546875,757.569580078125
832,0xa1,-0.9275561571121216,0.0,4776.31982421875,757.3731689453125
833,0xa1,-0.9275564551353455,0.0,4782.09326171875,757.1704711914062
834,0xa1,-0.9275566339492798,0.0,4787.8095703125,756.9697265625
835,0xa1,-0.9275566339492798,0.0,4793.4150390625,756.7733154296875
836,0xa1,-0.9275567531585693,0.0,4799.13134765625,756.5725708007812
837,0xa1,-0.9275569915771484,0.0,4804.6796875,756.3781127929688
838,0xa1,-0.927557647228241,0.0,4810.39990234375,756.1773681640625
840,0xa1,-0.9275577068328857,0.0,4816.1162109375,755.9766235351562
842,0xa1,-0.9275584816932678,0.0,4821.8896484375,755.77392578125
844,0xa1,-0.9275606870651245,0.0,4827.60595703125,755.5736083984375
868,0xa1,-0.6647274494171143,0.0,4816.0625,755.9786987304688
870,0xa1,-0.6647278666496277,0.0,4804.8583984375,756.3716430664062
872,0xa1,-0.6647278666496277,0.0,4793.5400390625,756.7689208984375
874,0xa1,-0.6647273898124695,0.0,4782.11083984375,757.1701049804688
876,0xa1,-0.3199734091758728,0.0,4768.03955078125,757.6637573242188
877,0xa1,-0.3199734091758728,0.0,4753.8291015625,758.1621704101562
878,0xa1,-0.3965896666049957,0.0,4739.78466796875,758.2915649414062
880,0xa1,-0.4895826578140259,0.0,4712.6640625,758.3635864257812
881,0xa1,-0.4895826578140259,0.0,4699.3251953125,758.2318725585938
882,0xa1,-0.6034753918647766,0.0,4687.24560546875,758.0131225585938
883,0xa1,-0.6034753918647766,0.0,4675.162109375,757.7943115234375
884,0xa1,-0.9971389174461365,0.0,4676.31005859375,757.4330444335938
885,0xa1,-0.9971389174461365,0.0,4677.44189453125,757.0750732421875
886,0xa1,-0.48104435205459595,0.0,4664.02734375,756.8991088867188
887,0xa1,-0.48104435205459595,0.0,4650.61669921875,756.7230834960938
891,0xa1,-0.16066065430641174,0.0,4665.56982421875,756.6646118164062
892,0xa1,-0.1606600284576416,0.0,4680.3740234375,756.6070556640625
893,0xa1,-0.16066186130046844,0.0,4695.47607421875,756.5481567382812
894,0xa1,-0.16066253185272217,0.0,4710.57421875,756.4893188476562
895,0xa1,-0.16066357493400574,0.0,4725.67626953125,756.430419921875
896,0xa1,-0.1606648713350296,0.0,4740.62939453125,756.3724365234375
