i,rot,t,x,z
589,1.7881397695873602e-07,0.0,7930.9287109375,880.6770629882812
590,1.7881397695873602e-07,0.0,7993.203125,880.6770629882812
591,1.7881397695873602e-07,0.0,8055.92333984375,872.3389282226562
592,1.7881397695873602e-07,0.0,8118.63623046875,872.3389282226562
593,1.7881397695873602e-07,0.0,8181.34912109375,872.3389282226562
594,3.576022322704375e-07,0.0,8232.1142578125,872.3389282226562
595,-1.7881397695873602e-07,0.0,8220.1689453125,872.3389282226562
597,-1.7881397695873602e-07,0.0,8157.44970703125,872.3389282226562
598,-3.5762795391747204e-07,0.0,8094.73681640625,872.3389282226562
599,-1.7881397695873602e-07,0.0,8032.02392578125,872.3389282226562
600,-1.7881397695873602e-07,0.0,7969.09521484375,880.7476196289062
601,-9.536746574667632e-07,0.0,7944.873046875,880.7476196289062
602,1.7881397695873602e-07,0.0,7980.708984375,880.7476196289062
603,-0.9861529469490051,0.0,8019.53125,876.9636840820312
607,-3.5762795391747204e-07,0.0,7995.640625,880.7822875976562
609,-0.4031849801540375,0.0,7962.70751953125,880.7822875976562
1191,-0.4032215476036072,0.0,7935.73193359375,880.7822875976562
1194,-0.40320420265197754,0.0,7892.56787109375,880.7822875976562
1199,-0.40318816900253296,0.0,7876.37939453125,880.7822875976562
1202,-0.9321827292442322,0.0,7842.38818359375,872.3389282226562
1205,-0.9321827292442322,0.0,7818.908203125,872.3389282226562
1208,-0.9321827292442322,0.0,7795.4296875,872.3389282226562
1211,0.3619883060455322,0.0,7755.556640625,872.3389282226562
1215,0.9151171445846558,0.0,7725.56591796875,872.3389282226562
1220,0.9926356077194214,0.0,7701.64892578125,872.3389282226562
1227,0.7341220378875732,0.0,7727.22265625,872.3389282226562
1230,0.5449821352958679,0.0,7768.61962890625,880.7606201171875
1235,-0.40608343482017517,0.0,7757.84423828125,880.7606201171875
1238,-0.4041151702404022,0.0,7698.54248046875,873.06591796875
1239,0.7043602466583252,0.0,7698.54248046875,873.06591796875
1242,0.6677413582801819,0.0,7748.7490234375,880.793701171875
1243,0.6956706047058105,0.0,7792.5546875,880.793701171875
1244,0.7066283822059631,0.0,7836.27392578125,880.793701171875
1245,0.7066285014152527,0.0,7836.27392578125,880.793701171875
1246,-0.554168164730072,0.0,7828.72802734375,880.793701171875
1247,0.7043672800064087,0.0,7824.5419921875,880.793701171875
1248,0.7043672800064087,0.0,7778.47900390625,880.793701171875
1249,-0.0038668469060212374,0.0,7725.634765625,880.793701171875
1252,-0.709835946559906,0.0,7675.92919921875,880.793701171875
1253,-0.709835946559906,0.0,7630.24462890625,880.793701171875
1254,-0.7098360061645508,0.0,7592.8671875,880.793701171875
1255,-0.709835946559906,0.0,7584.5634765625,880.793701171875
1256,-0.709835946559906,0.0,7538.88134765625,873.9005737304688
1257,-0.709835946559906,0.0,7493.20068359375,873.9005737304688
1258,-0.709835946559906,0.0,7447.45654296875,873.9005737304688
1259,0.709835946559906,0.0,7410.0791015625,873.9005737304688
1260,0.9999923706054688,0.0,7431.50634765625,873.9005737304688
1261,-0.0038668469060212374,0.0,7409.35986328125,873.9005737304688
1262,-0.7098356485366821,0.0,7352.68115234375,873.9005737304688
1263,-0.709835946559906,0.0,7306.99560546875,873.9005737304688
1264,-0.709835946559906,0.0,7261.31103515625,873.9005737304688
1265,-0.709835946559906,0.0,7215.63037109375,872.1499633789062
1266,0.7043675780296326,0.0,7159.04931640625,872.1499633789062
1268,0.7043672800064087,0.0,7112.92431640625,872.1499633789062
1269,-0.0038668469060212374,0.0,7065.21337890625,873.7007446289062
1270,-0.003866594983264804,0.0,7000.3583984375,873.7007446289062
1271,-0.003866594983264804,0.0,6935.50341796875,872.1499633789062
1272,-0.003866594983264804,0.0,6870.64453125,872.1499633789062
1273,0.26726311445236206,0.0,6855.85888671875,872.1499633789062
1279,-0.9636237025260925,0.0,6843.25341796875,872.1499633789062
1281,-0.9636237025260925,0.0,6825.916015625,872.1499633789062
1283,-0.9636234045028687,0.0,6811.73779296875,872.1499633789062
1296,0.2673092186450958,0.0,6800.37451171875,872.1499633789062
1298,0.2672908902168274,0.0,6737.87646484375,872.1499633789062
1300,0.26727449893951416,0.0,6709.46826171875,872.1499633789062
1307,0.2663925588130951,0.0,6675.36572265625,872.1499633789062
1308,0.26699256896972656,0.0,6612.85791015625,872.1499633789062
1309,-0.49247246980667114,0.0,6551.10791015625,872.1499633789062
1310,-0.4924226999282837,0.0,6494.6484375,872.1499633789062
1311,-0.49240633845329285,0.0,6438.2001953125,872.1499633789062
